 Lat   Pressure    CH4_Climatology
  -90.0000000       1.60000008E-02   160.160034    
  -90.0000000       3.79999988E-02   161.892334    
  -90.0000000       7.69999996E-02   162.823120    
  -90.0000000      0.136999995       162.794189    
  -90.0000000      0.224000007       162.090942    
  -90.0000000      0.344999999       161.352295    
  -90.0000000      0.505999982       161.494263    
  -90.0000000      0.713999987       163.514282    
  -90.0000000      0.975000024       168.279785    
  -90.0000000       1.29700005       176.467896    
  -90.0000000       1.68700004       188.486450    
  -90.0000000       2.15300012       204.564819    
  -90.0000000       2.70099998       224.703613    
  -90.0000000       3.33999991       248.899658    
  -90.0000000       4.07700014       277.026123    
  -90.0000000       4.92000008       308.941162    
  -90.0000000       5.87799978       344.506836    
  -90.0000000       6.95699978       383.426208    
  -90.0000000       8.16499996       425.446045    
  -90.0000000       9.51200008       470.318665    
  -90.0000000       11.0039997       517.625244    
  -90.0000000       12.6490002       566.983582    
  -90.0000000       14.4560003       618.011719    
  -90.0000000       16.4319992       670.259705    
  -90.0000000       18.5849991       723.317200    
  -90.0000000       20.9220009       776.761597    
  -90.0000000       23.4529991       830.263428    
  -90.0000000       26.1830006       883.413696    
  -90.0000000       29.1210003       935.913208    
  -90.0000000       32.2739983       987.460999    
  -90.0000000       35.6510010       1037.81140    
  -90.0000000       39.2570000       1086.69482    
  -90.0000000       43.0999985       1133.91431    
  -90.0000000       47.1879997       1179.30432    
  -90.0000000       51.5279999       1222.72058    
  -90.0000000       56.1259995       1264.03882    
  -90.0000000       60.9889984       1303.17896    
  -90.0000000       66.1250000       1340.10632    
  -90.0000000       71.5400009       1374.78748    
  -90.0000000       77.2399979       1407.22656    
  -90.0000000       83.2310028       1437.45166    
  -90.0000000       89.5199966       1465.52771    
  -90.0000000       96.1139984       1491.53467    
  -90.0000000       103.019997       1515.58618    
  -90.0000000       110.239998       1537.80420    
  -90.0000000       117.779999       1558.35095    
  -90.0000000       125.650002       1577.43176    
  -90.0000000       133.850006       1595.24658    
  -90.0000000       142.380005       1612.02832    
  -90.0000000       151.270004       1628.05859    
  -90.0000000       160.500000       1643.51929    
  -90.0000000       170.080002       1658.59216    
  -90.0000000       180.020004       1673.36499    
  -90.0000000       190.320007       1687.76843    
  -90.0000000       200.990005       1701.55286    
  -90.0000000       212.029999       1714.27161    
  -90.0000000       223.440002       1725.36682    
  -90.0000000       235.229996       1734.33118    
  -90.0000000       247.410004       1740.89587    
  -90.0000000       259.970001       1745.15308    
  -90.0000000       272.920013       1747.58411    
  -90.0000000       286.260010       1748.81970    
  -90.0000000       300.000000       1749.42444    
  -90.0000000       314.140015       1749.74365    
  -90.0000000       328.670013       1749.93994    
  -90.0000000       343.619995       1750.06897    
  -90.0000000       358.970001       1750.14844    
  -90.0000000       374.720001       1750.19177    
  -90.0000000       390.890015       1750.20764    
  -90.0000000       407.470001       1750.20264    
  -90.0000000       424.470001       1750.18762    
  -90.0000000       441.880005       1750.16589    
  -90.0000000       459.709991       1750.14929    
  -90.0000000       477.959991       1750.14502    
  -90.0000000       496.630005       1750.15759    
  -90.0000000       515.719971       1750.19177    
  -90.0000000       535.229980       1750.25610    
  -90.0000000       555.169983       1750.35291    
  -90.0000000       575.530029       1750.49146    
  -90.0000000       596.309998       1750.67175    
  -90.0000000       617.510010       1750.90295    
  -90.0000000       639.140015       1751.18604    
  -90.0000000       661.190002       1751.52673    
  -90.0000000       683.669983       1751.92859    
  -90.0000000       706.570007       1752.39221    
  -90.0000000       729.890015       1752.92542    
  -90.0000000       753.630005       1753.52649    
  -90.0000000       777.789978       1754.20398    
  -90.0000000       802.369995       1754.95361    
  -90.0000000       827.369995       1755.78137    
  -90.0000000       852.789978       1756.69250    
  -90.0000000       878.619995       1757.68201    
  -90.0000000       904.869995       1758.75598    
  -90.0000000       931.520020       1759.91711    
  -90.0000000       958.590027       1761.16626    
  -90.0000000       986.070007       1762.50366    
  -90.0000000       1013.90002       1763.92542    
  -90.0000000       1042.19995       1765.44519    
  -90.0000000       1070.90002       1767.05542    
  -90.0000000       1100.00000       1768.76086    
  -89.0000000       1.60000008E-02   160.214844    
  -89.0000000       3.79999988E-02   161.945435    
  -89.0000000       7.69999996E-02   162.878418    
  -89.0000000      0.136999995       162.848267    
  -89.0000000      0.224000007       162.146484    
  -89.0000000      0.344999999       161.407471    
  -89.0000000      0.505999982       161.552612    
  -89.0000000      0.713999987       163.574585    
  -89.0000000      0.975000024       168.343750    
  -89.0000000       1.29700005       176.534790    
  -89.0000000       1.68700004       188.558472    
  -89.0000000       2.15300012       204.644287    
  -89.0000000       2.70099998       224.789429    
  -89.0000000       3.33999991       248.994995    
  -89.0000000       4.07700014       277.130371    
  -89.0000000       4.92000008       309.058594    
  -89.0000000       5.87799978       344.635742    
  -89.0000000       6.95699978       383.567810    
  -89.0000000       8.16499996       425.600281    
  -89.0000000       9.51200008       470.485840    
  -89.0000000       11.0039997       517.807922    
  -89.0000000       12.6490002       567.179810    
  -89.0000000       14.4560003       618.220459    
  -89.0000000       16.4319992       670.480835    
  -89.0000000       18.5849991       723.550598    
  -89.0000000       20.9220009       777.007019    
  -89.0000000       23.4529991       830.519409    
  -89.0000000       26.1830006       883.675110    
  -89.0000000       29.1210003       936.182617    
  -89.0000000       32.2739983       987.733398    
  -89.0000000       35.6510010       1038.08838    
  -89.0000000       39.2570000       1086.97266    
  -89.0000000       43.0999985       1134.19141    
  -89.0000000       47.1879997       1179.58020    
  -89.0000000       51.5279999       1222.99194    
  -89.0000000       56.1259995       1264.30383    
  -89.0000000       60.9889984       1303.43750    
  -89.0000000       66.1250000       1340.35864    
  -89.0000000       71.5400009       1375.02844    
  -89.0000000       77.2399979       1407.45923    
  -89.0000000       83.2310028       1437.67395    
  -89.0000000       89.5199966       1465.73596    
  -89.0000000       96.1139984       1491.73669    
  -89.0000000       103.019997       1515.77686    
  -89.0000000       110.239998       1537.98083    
  -89.0000000       117.779999       1558.51611    
  -89.0000000       125.650002       1577.58789    
  -89.0000000       133.850006       1595.38953    
  -89.0000000       142.380005       1612.16016    
  -89.0000000       151.270004       1628.17981    
  -89.0000000       160.500000       1643.62524    
  -89.0000000       170.080002       1658.68579    
  -89.0000000       180.020004       1673.44666    
  -89.0000000       190.320007       1687.83752    
  -89.0000000       200.990005       1701.60547    
  -89.0000000       212.029999       1714.31396    
  -89.0000000       223.440002       1725.39453    
  -89.0000000       235.229996       1734.35315    
  -89.0000000       247.410004       1740.90625    
  -89.0000000       259.970001       1745.16101    
  -89.0000000       272.920013       1747.58704    
  -89.0000000       286.260010       1748.82263    
  -89.0000000       300.000000       1749.42603    
  -89.0000000       314.140015       1749.74695    
  -89.0000000       328.670013       1749.94165    
  -89.0000000       343.619995       1750.06738    
  -89.0000000       358.970001       1750.15259    
  -89.0000000       374.720001       1750.19348    
  -89.0000000       390.890015       1750.20679    
  -89.0000000       407.470001       1750.20435    
  -89.0000000       424.470001       1750.18591    
  -89.0000000       441.880005       1750.16345    
  -89.0000000       459.709991       1750.15002    
  -89.0000000       477.959991       1750.14343    
  -89.0000000       496.630005       1750.15588    
  -89.0000000       515.719971       1750.18848    
  -89.0000000       535.229980       1750.25354    
  -89.0000000       555.169983       1750.35205    
  -89.0000000       575.530029       1750.48730    
  -89.0000000       596.309998       1750.67004    
  -89.0000000       617.510010       1750.90137    
  -89.0000000       639.140015       1751.18347    
  -89.0000000       661.190002       1751.52429    
  -89.0000000       683.669983       1751.92517    
  -89.0000000       706.570007       1752.39062    
  -89.0000000       729.890015       1752.92041    
  -89.0000000       753.630005       1753.52319    
  -89.0000000       777.789978       1754.19885    
  -89.0000000       802.369995       1754.95105    
  -89.0000000       827.369995       1755.77722    
  -89.0000000       852.789978       1756.68494    
  -89.0000000       878.619995       1757.67700    
  -89.0000000       904.869995       1758.75354    
  -89.0000000       931.520020       1759.91040    
  -89.0000000       958.590027       1761.15869    
  -89.0000000       986.070007       1762.49609    
  -89.0000000       1013.90002       1763.92041    
  -89.0000000       1042.19995       1765.43835    
  -89.0000000       1070.90002       1767.04871    
  -89.0000000       1100.00000       1768.75073    
  -88.0000000       1.60000008E-02   160.369507    
  -88.0000000       3.79999988E-02   162.100220    
  -88.0000000       7.69999996E-02   163.033569    
  -88.0000000      0.136999995       163.006348    
  -88.0000000      0.224000007       162.304688    
  -88.0000000      0.344999999       161.569458    
  -88.0000000      0.505999982       161.718628    
  -88.0000000      0.713999987       163.746338    
  -88.0000000      0.975000024       168.523560    
  -88.0000000       1.29700005       176.725342    
  -88.0000000       1.68700004       188.764648    
  -88.0000000       2.15300012       204.867676    
  -88.0000000       2.70099998       225.033813    
  -88.0000000       3.33999991       249.264160    
  -88.0000000       4.07700014       277.427979    
  -88.0000000       4.92000008       309.386230    
  -88.0000000       5.87799978       344.996582    
  -88.0000000       6.95699978       383.965881    
  -88.0000000       8.16499996       426.036682    
  -88.0000000       9.51200008       470.961182    
  -88.0000000       11.0039997       518.322754    
  -88.0000000       12.6490002       567.734680    
  -88.0000000       14.4560003       618.813416    
  -88.0000000       16.4319992       671.111450    
  -88.0000000       18.5849991       724.214478    
  -88.0000000       20.9220009       777.701538    
  -88.0000000       23.4529991       831.241394    
  -88.0000000       26.1830006       884.420227    
  -88.0000000       29.1210003       936.944641    
  -88.0000000       32.2739983       988.509583    
  -88.0000000       35.6510010       1038.87366    
  -88.0000000       39.2570000       1087.75879    
