 Hemisphere(NH=1_SH=2)  Month   Pressure    CO_Climatology
           1           1   1.60000008E-02   1.75132197E-06
           1           1   3.79999988E-02   6.52200015E-07
           1           1   7.69999996E-02   3.13632995E-07
           1           1  0.136999995       1.98205996E-07
           1           1  0.224000007       1.32750003E-07
           1           1  0.344999999       9.31949984E-08
           1           1  0.505999982       6.91480011E-08
           1           1  0.713999987       5.57100002E-08
           1           1  0.975000024       4.52350015E-08
           1           1   1.29700005       3.73860018E-08
           1           1   1.68700004       3.29690018E-08
           1           1   2.15300012       2.95830009E-08
           1           1   2.70099998       2.69919997E-08
           1           1   3.33999991       2.49500012E-08
           1           1   4.07700014       2.34069990E-08
           1           1   4.92000008       2.21049987E-08
           1           1   5.87799978       2.10470006E-08
           1           1   6.95699978       2.02900008E-08
           1           1   8.16499996       1.97479988E-08
           1           1   9.51200008       1.94220000E-08
           1           1   11.0039997       1.92509990E-08
           1           1   12.6490002       1.91949994E-08
           1           1   14.4560003       1.92450003E-08
           1           1   16.4319992       1.93260004E-08
           1           1   18.5849991       1.93640002E-08
           1           1   20.9220009       1.93279988E-08
           1           1   23.4529991       1.91670004E-08
           1           1   26.1830006       1.88659985E-08
           1           1   29.1210003       1.84090005E-08
           1           1   32.2739983       1.78050001E-08
           1           1   35.6510010       1.72329990E-08
           1           1   39.2570000       1.67140009E-08
           1           1   43.0999985       1.63719989E-08
           1           1   47.1879997       1.61470002E-08
           1           1   51.5279999       1.61769993E-08
           1           1   56.1259995       1.64639999E-08
           1           1   60.9889984       1.71399996E-08
           1           1   66.1250000       1.82789996E-08
           1           1   71.5400009       2.01060004E-08
           1           1   77.2399979       2.20040004E-08
           1           1   83.2310028       2.41070008E-08
           1           1   89.5199966       2.61959983E-08
           1           1   96.1139984       2.84599988E-08
           1           1   103.016998       3.06700016E-08
           1           1   110.237000       3.28100001E-08
           1           1   117.777000       3.49000011E-08
           1           1   125.646004       3.68889985E-08
           1           1   133.845993       3.87700005E-08
           1           1   142.384995       4.06090024E-08
           1           1   151.266006       4.23830002E-08
           1           1   160.496002       4.41170016E-08
           1           1   170.078003       4.58339997E-08
           1           1   180.018005       4.76220023E-08
           1           1   190.320007       4.93740018E-08
           1           1   200.988998       5.11140001E-08
           1           1   212.028000       5.28520019E-08
           1           1   223.440994       5.45569989E-08
           1           1   235.233994       5.62110003E-08
           1           1   247.408005       5.76489967E-08
           1           1   259.968994       5.90619997E-08
           1           1   272.919006       6.04269985E-08
           1           1   286.261993       6.12879987E-08
           1           1   300.000000       6.21099971E-08
           1           1   314.136993       6.28989980E-08
           1           1   328.674988       6.34550048E-08
           1           1   343.618011       6.38530011E-08
           1           1   358.966003       6.42149942E-08
           1           1   374.723999       6.43919975E-08
           1           1   390.893005       6.44839986E-08
           1           1   407.473999       6.45059970E-08
           1           1   424.470001       6.44499991E-08
           1           1   441.881989       6.43789946E-08
           1           1   459.712006       6.42689955E-08
           1           1   477.960999       6.41549960E-08
           1           1   496.630005       6.40400017E-08
           1           1   515.719971       6.39330011E-08
           1           1   535.231995       6.38739976E-08
           1           1   555.166992       6.38319975E-08
           1           1   575.525024       6.38240039E-08
           1           1   596.306030       6.38359978E-08
           1           1   617.510986       6.38580033E-08
           1           1   639.140015       6.38930047E-08
